Time,PV Profile,PV Status
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.026062939,1
8.00,0.293681431,1
9.00,0.539265518,1
10.00,0.692703323,1
11.00,0.773823318,1
12.00,0.778423386,1
13.00,0.714652328,1
14.00,0.555890656,1
15.00,0.383622665,1
16.00,0.116991777,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00764363,1
8.00,0.199170151,1
9.00,0.373503838,1
10.00,0.445865135,1
11.00,0.462819214,1
12.00,0.448798866,1
13.00,0.11290329,1
14.00,0.292828484,1
15.00,0.171476727,1
16.00,0.088056288,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0,0
8.00,0.026436939,1
9.00,0.045111489,1
10.00,0.064210029,1
11.00,0.060004458,1
12.00,0.06615202,1
13.00,0.058662481,1
14.00,0.11598856,1
15.00,0.01228031,1
16.00,0.024906919,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0,0
8.00,0.025150459,1
9.00,0.044005141,1
10.00,0.094462099,1
11.00,0.05639132,1
12.00,0.069515228,1
13.00,0.057195339,1
14.00,0.076878071,1
15.00,0.022801809,1
16.00,0.00613285,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00527003,1
8.00,0.186335258,1
9.00,0.507750778,1
10.00,0.4691008,1
11.00,0.269452839,1
12.00,0.757364807,1
13.00,0.749236908,1
14.00,0.616700516,1
15.00,0.414653053,1
16.00,0.134413509,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0,0
8.00,0.02726269,1
9.00,0.224350281,1
10.00,0.185672302,1
11.00,0.106702232,1
12.00,0.145134516,1
13.00,0.144455566,1
14.00,0.048581281,1
15.00,0.201435509,1
16.00,0.077871799,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.0078493,1
8.00,0.241787548,1
9.00,0.232221889,1
10.00,0.477456818,1
11.00,0.374372597,1
12.00,0.418869743,1
13.00,0.315129089,1
14.00,0.195363178,1
15.00,0.303285427,1
16.00,0.116564407,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.01432826,1
8.00,0.249071293,1
9.00,0.449194832,1
10.00,0.518516235,1
11.00,0.543193779,1
12.00,0.59955143,1
13.00,0.586662369,1
14.00,0.475660629,1
15.00,0.328344727,1
16.00,0.132594824,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.012542911,1
8.00,0.235929127,1
9.00,0.43359333,1
10.00,0.556482277,1
11.00,0.623052368,1
12.00,0.683504562,1
13.00,0.646536942,1
14.00,0.604745255,1
15.00,0.413161583,1
16.00,0.151491346,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.02174222,1
8.00,0.288180866,1
9.00,0.532616577,1
10.00,0.671307907,1
11.00,0.750870514,1
12.00,0.769499283,1
13.00,0.697587433,1
14.00,0.588884544,1
15.00,0.423519058,1
16.00,0.157823238,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00249202,1
8.00,0.163819637,1
9.00,0.488900833,1
10.00,0.656147308,1
11.00,0.622311745,1
12.00,0.75478981,1
13.00,0.692481384,1
14.00,0.458320236,1
15.00,0.153526297,1
16.00,0.107482424,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0,0
8.00,0.019497,1
9.00,0.030517149,1
10.00,0.046628628,1
11.00,0.06491776,1
12.00,0.103498278,1
13.00,0.079972892,1
14.00,0.041012201,1
15.00,0.01800872,1
16.00,0.01438305,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.01278558,1
8.00,0.247473965,1
9.00,0.537612991,1
10.00,0.711191025,1
11.00,0.788728104,1
12.00,0.813013382,1
13.00,0.733874817,1
14.00,0.38170948,1
15.00,0.420755234,1
16.00,0.168734989,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00141286,1
8.00,0.153651638,1
9.00,0.093137569,1
10.00,0.084055271,1
11.00,0.125442858,1
12.00,0.094967422,1
13.00,0.100496302,1
14.00,0.09599225,1
15.00,0.164054832,1
16.00,0.088461962,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00240871,1
8.00,0.153757,1
9.00,0.2095154,1
10.00,0.624632721,1
11.00,0.274199047,1
12.00,0.671339645,1
13.00,0.748649292,1
14.00,0.599102402,1
15.00,0.144455194,1
16.00,0.12092,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.018576109,1
8.00,0.289810486,1
9.00,0.550298042,1
10.00,0.708727875,1
11.00,0.750827789,1
12.00,0.388963547,1
13.00,0.695422287,1
14.00,0.623212357,1
15.00,0.428016167,1
16.00,0.097603807,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.02009485,1
8.00,0.302457695,1
9.00,0.550611801,1
10.00,0.700763397,1
11.00,0.789777374,1
12.00,0.805204468,1
13.00,0.690426636,1
14.00,0.640915146,1
15.00,0.452479477,1
16.00,0.187321568,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,0.00114535,1
8.00,0.145552034,1
9.00,0.093978882,1
10.00,0.050229878,1
11.00,0.068724508,1
12.00,0.089775267,1
13.00,0.060618949,1
14.00,0.157916546,1
15.00,0.074855919,1
16.00,0.081042652,1
17.00,0,0
18.00,0,0
19.00,0,0
20.00,0,0
21.00,0,0
22.00,0,0
23.00,0,0
0.00,0,0
1.00,0,0
2.00,0,0
3.00,0,0
4.00,0,0
5.00,0,0
6.00,0,0
7.00,5.06E-06,1
8.00,0.034117279,1
9.00,0.0280794,1
10.00,0.331236115,1
