DATE (MM/DD/YYYY),MST,Time,Power,Irradiance,Temperature,CloudCover,5 min,Boolean,
1/1/2006,7:29,7.48,0.0,3.2,6.3,-1.0,5,1,
1/1/2006,7:34,7.57,0.0,5.5,6.4,-1.0,10,1,
1/1/2006,7:39,7.65,0.1,8.3,6.5,-1.0,15,1,
1/1/2006,7:44,7.73,0.2,12.4,6.9,-1.0,20,1,
1/1/2006,7:49,7.82,0.3,18.9,6.8,7.0,25,1,
1/1/2006,7:54,7.90,0.3,26.3,6.4,15.0,30,1,
1/1/2006,7:59,7.98,0.4,32.0,6.3,26.0,35,1,
1/1/2006,8:04,8.07,0.5,39.4,6.6,44.0,40,1,
1/1/2006,8:09,8.15,0.6,47.2,6.9,59.0,45,1,
1/1/2006,8:14,8.23,4.0,52.3,7.5,66.0,50,1,
1/1/2006,8:19,8.32,2.8,60.7,7.8,55.0,55,1,
1/1/2006,8:24,8.40,9.1,61.5,7.9,55.0,60,1,
1/1/2006,8:29,8.48,11.3,71.9,7.9,51.0,65,1,
1/1/2006,8:34,8.57,20.4,77.3,7.9,52.0,70,1,
1/1/2006,8:39,8.65,27.9,112.2,7.9,51.0,75,1,
1/1/2006,8:44,8.73,25.8,130.4,8.0,58.0,80,1,
1/1/2006,8:49,8.82,30.7,175.3,8.1,52.0,85,1,
1/1/2006,8:54,8.90,34.8,229.8,8.1,53.0,90,1,
1/1/2006,8:59,8.98,14.1,237.7,8.1,59.0,95,1,
1/1/2006,9:04,9.07,10.5,207.4,8.1,71.0,100,1,
1/1/2006,9:09,9.15,23.6,232.7,8.2,63.0,105,1,
1/1/2006,9:14,9.23,20.0,219.0,8.1,66.0,110,1,
1/1/2006,9:19,9.32,29.7,167.9,7.8,72.0,115,1,
1/1/2006,9:24,9.40,28.5,139.8,7.5,68.0,120,1,
1/1/2006,9:29,9.48,36.4,127.1,7.3,53.0,125,1,
1/1/2006,9:34,9.57,42.4,130.3,7.2,49.0,130,1,
1/1/2006,9:39,9.65,46.4,104.8,7.1,39.0,135,1,
1/1/2006,9:44,9.73,44.1,122.8,7.1,32.0,140,1,
1/1/2006,9:49,9.82,45.4,81.1,7.2,17.0,145,1,
1/1/2006,9:54,9.90,26.5,398.1,7.2,12.0,150,1,
1/1/2006,9:59,9.98,21.3,381.0,7.6,30.0,155,1,
1/1/2006,10:04,10.07,37.6,437.9,7.9,15.0,160,1,
1/1/2006,10:09,10.15,46.5,119.6,7.7,23.0,165,1,
1/1/2006,10:14,10.23,33.6,117.1,7.9,15.0,170,1,
1/1/2006,10:19,10.32,31.3,430.3,8.2,8.0,175,1,
1/1/2006,10:24,10.40,51.4,430.3,8.3,4.0,180,1,
1/1/2006,10:29,10.48,56.9,434.1,8.3,3.0,185,1,
1/1/2006,10:34,10.57,37.7,440.3,8.4,2.0,190,1,
1/1/2006,10:39,10.65,39.0,453.0,8.3,3.0,195,1,
1/1/2006,10:44,10.73,47.0,454.0,8.6,3.0,200,1,
1/1/2006,10:49,10.82,43.2,469.1,8.8,3.0,205,1,
